ID,Slide,Headline/Hook,Corpo do Texto (Contexto),CTA/Destaque
1,1,"INDICAÇÃO NÃO É ESTRATÉGIA. É SORTE.","E depender da sorte é o caminho mais rápido para o suicídio operacional.","Arraste →"
1,2,"O avião sem manche","Trabalhar na base da indicação é como pilotar um avião de 50 milhões sem o controle do manche.","Segue o fio..."
1,3,"Os 3 pilares do risco","Sazonalidade sem controle, guerra de preços e falta de teto de faturamento.","Perigo real"
1,4,"A saída dos grandes","Os grandes players instalam ENGENHARIA DE RECEITA para garantir agenda lotada.","O Segredo"
1,5,"O futuro é de quem orquestra","Tráfego traz o lead + IA qualifica + Processo blinda. O dono apenas orquestra.","Comente ESCALA"
1,6,"Pare de esperar. Comece a orquestrar.","Se você fatura +50k e quer sair da loteria do 'boca a boca', aplique no link.","Link na Bio"
2,1,"VOCÊ OPERA SEU NEGÓCIO? OU ELE OPERA VOCÊ?","Descubra se você é um Diretor ou apenas o funcionário mais caro da sua empresa.","Arraste →"
2,2,"O escravo do WhatsApp","Se seu dia começa e termina respondendo orçamentos básicos, você é um escravo operacional.","Você sente isso?"
2,3,"O Maestro instala sistemas","O Produtor Operacional carrega o piano. O Maestro instala a inteligência que roda sem ele.","A Diferença"
2,4,"A engrenagem rodando","Tem sistemas respondendo. Tem IA triando. Tem processo rodando.","Liberdade"
2,5,"Você decide. O sistema executa.","Isso é escala de verdade. Saia do operacional e assuma o manche da estratégia.","Comente MAESTRO"
2,6,"Quer ver a nossa IA em ação?","Clique no link da bio e entenda como devolvemos o seu tempo de gestão.","Link na Bio"
3,1,"COMO NOSSA IA QUALIFICA LEADS 24/7","Entenda como nosso sistema nunca para de trabalhar — mesmo quando você dorme.","Arraste →"
3,2,"O lead não espera o café","Leads que chegam às 21h não podem ficar no vácuo. Resposta instantânea é a nova regra.","Segue o fio..."
3,3,"IA com RAG (Cérebro Único)","Nosso sistema conhece seu preço, sua agenda e seus filtros de cliente. Sem falhas.","Tecnologia"
3,4,"Fluxo de Triagem","Saudação personalizada → Coleta de Dados → Filtro de ICP → Agendamento Automático.","O Processo"
3,5,"Acorde com lucro","Pela manhã, você não tem mensagens pendentes. Você tem reuniões agendadas no Calendar.","Eficiência"
3,6,"Quer ver na prática?","Comente 'DEMO' para ver o sistema rodando agora com os dados da sua empresa.","Comente DEMO"
4,1,"O VÁCUO DE 30 MIN QUE TE CUSTA R$ 50 MIL","Velocidade é o critério nº 1 de escolha no Big Ticket de eventos corporativos.","Arraste →"
4,2,"Velocidade é Lucro","Demorar 30 minutos para responder reduz sua chance de conversão em 60%.","⏱️ Timing"
4,3,"3 concorrentes na linha","O lead chamou você e mais 3. Quem responder com organização primeiro, leva o contrato.","A disputa"
4,4,"O gargalo manual","Responder manual é o limite da sua escala. Você esquece leads e perde o 'time' da venda.","O Erro"
4,5,"Onipresença Instantânea","Com a BackStageFy, a taxa de resposta é de ZERO segundos. Presença total no lead.","Solução"
4,6,"Quanto você deixa na mesa?","Clique no link da bio e faça nossa Auditoria de Perda de Receita em 48h.","Link na Bio"
5,1,"3 MÉTRICAS QUE SEPARAM AMADORES DE ELITE","Se você não mede, você não gerencia. O que os grandes olham todos os dias.","Arraste →"
5,2,"CAC (Custo de Aquisição)","Você sabe quanto custa, em centavos, cada contrato assinado na sua casa de eventos?","Métrica 1"
5,3,"LTV (Lifetime Value)","O cliente de elite deve comprar de você 2x, 3x... e não apenas uma vez por sorte.","Métrica 2"
5,4,"Taxa de Resposta Tática","O tempo entre o 'Oi' e o Briefing pronto define o seu ticket médio no final do mês.","Métrica 3"
5,5,"Dashboard em Tempo Real","Na BKS Grow, instalamos o dashboard que te entrega esses números sem planilhas manuais.","Gestão"
5,6,"Deseja esses dados hoje?","Mande uma DM com a palavra 'DADOS' e eu te mostro como ter esse controle.","DM 'DADOS'"
6,1,"POR QUE NÃO CONTRATAR UM VENDEDOR AGORA","Contratar gente para 'atender WhatsApp' resolve o sintoma, mas não ataca a causa.","Arraste →"
6,2,"O custo real de pessoas","Erro humano, folgas, desmotivação e custo fixo alto. Pessoas não escalam processos.","O Risco"
6,3,"Automatize a Triagem","Sistemas não dormem. Automatize a qualificação e o follow-up e foque no fechamento.","Estratégia"
6,4,"Vendedor vs Tirador de Pedido","O papel do comercial é VENDER, não ficar pedindo briefing básico para lead frio.","Foco"
6,5,"Lead no Ponto de Bala","Com a BackStageFy, seu vendedor recebe o lead qualificado e pronto para a assinatura.","Lucro"
6,6,"Quer enxugar sua folha?","Link na bio para entender como trocar custo fixo por escala automática.","Link na Bio"
7,1,"ESCALA É UMA DECISÃO TÉCNICA","Dobrar o faturamento não significa dobrar o seu fardo de trabalho operacional.","Arraste →"
7,2,"Dobrar o caos quebra","Se você apenas aumentar o volume sem sistemas, sua operação implode de dentro pra fora.","Mindset"
7,3,"Desacoplamento de Horas","Escalar é desacoplar seu lucro das suas horas de trabalho. O sistema trabalha pra você.","Visão"
7,4,"Processos Digitais","2026 será o ano dos Maestros. Quem carrega o piano será substituído pela agência sênior.","O Futuro"
7,5,"Soberania como Dono","A BKS Grow instala a engenharia que te devolve o controle e a liberdade de agenda.","A Escolha"
7,6,"Pronto para orquestrar?","As vagas para a Auditoria de Abril estão abertas. São apenas 3 por semana.","Link na Bio"
